suburb,type,# room,# baths,# parking,area,Avg Price,Count
*, *, *,1,0, *,379713.5025,203
*, *, *,1,1, *,516871.2926,188
*, *, *,2,0, *,521049.9697,99
*, *, *,2,1, *,749464.0575,174
*, *, *,2,2, *,1003201.162,99
*, *, *,3,0, *,646153.25,16
*, *, *,3,1, *,952685.6957,46
*, *, *,3,2, *,1289044.486,37
*, *, *,3,3, *,1580052.143,14
*, *, *,4,0, *,939170.9167,12
*, *, *,4,1, *,1110781.28,25
*, *, *,4,2, *,1676394.583,12
*, *, *,4,3, *,2075450.833,18
*, *, *,4,4, *,2585649.5,12
*, *, *,5,1, *,1758183.615,13
*, *, *,5,3, *,2490393.167,12
*, *, *,5,4, *,3215519.5,6
,,,,,,,
total number of cuboid cells computed = 17,,,,,,,
