suburb,type,# room,# baths,# parking,area,Avg Price,Count
Humewood, Flat, *, *, *,130,294101,8
Humewood, Flat, *, *, *,140,338195.5,6
Humewood, Flat, *, *, *,270,763062.8333,6
Humewood, Flat, *, *, *,160,378036.1429,7
Humewood, Flat, *, *, *,190,494669.1667,6
Humewood, Flat, *, *, *,220,560466.2857,7
Humewood, House, *, *, *,140,362381.4444,9
Humewood, House, *, *, *,240,837377.5556,9
Walmer, Flat, *, *, *,130,332396.2857,7
Walmer, Flat, *, *, *,260,904684.7778,9
Walmer, Flat, *, *, *,140,358085.9091,11
Walmer, Flat, *, *, *,150,416165.6667,6
Walmer, Flat, *, *, *,280,856835,9
Walmer, Flat, *, *, *,290,871295.5,8
Walmer, Flat, *, *, *,170,596403.5455,11
Walmer, Flat, *, *, *,300,1014450.333,6
Walmer, Flat, *, *, *,180,528811.8,10
Walmer, Flat, *, *, *,190,555815.3333,12
Walmer, Flat, *, *, *,70,189985.3333,6
Walmer, Flat, *, *, *,200,588761.7,10
Walmer, Flat, *, *, *,210,665240.9231,13
Walmer, Flat, *, *, *,90,243021.5,10
Walmer, Flat, *, *, *,220,665438.0769,13
Walmer, Flat, *, *, *,100,256245.1111,9
Walmer, Flat, *, *, *,230,655284.75,8
Walmer, Flat, *, *, *,110,298801,8
Walmer, Flat, *, *, *,240,900201.5,6
Walmer, Flat, *, *, *,120,303594.1667,12
Walmer, House, *, *, *,130,384747.5,6
Walmer, House, *, *, *,150,435186.4545,11
Walmer, House, *, *, *,280,1062581.25,8
Walmer, House, *, *, *,160,444122.1667,6
Walmer, House, *, *, *,170,513537.3333,6
Walmer, House, *, *, *,300,1141971.556,9
Walmer, House, *, *, *,180,545832.9091,11
Walmer, House, *, *, *,60,183504.7,10
Walmer, House, *, *, *,210,664268.875,8
Walmer, House, *, *, *,90,259290.3333,6
Walmer, House, *, *, *,220,711679.2727,11
Walmer, House, *, *, *,100,283057.2857,7
Walmer, House, *, *, *,230,768477.75,8
Walmer, House, *, *, *,110,328405.9231,13
Walmer, House, *, *, *,370,1304558.833,6
Walmer, House, *, *, *,120,374286.6667,12
Walmer, House, *, *, *,250,780388.8333,6
Summerstrand, Flat, *, *, *,260,984961.3333,6
Summerstrand, Flat, *, *, *,150,423010.8333,6
Summerstrand, Flat, *, *, *,160,460448,7
Summerstrand, Flat, *, *, *,210,601569.5714,7
Summerstrand, Flat, *, *, *,220,698150,7
Summerstrand, House, *, *, *,130,390689.5,6
Summerstrand, House, *, *, *,260,915229.3333,6
Summerstrand, House, *, *, *,120,358184,6
,,,,,,,
total number of cuboid cells computed = 53,,,,,,,
